lead_id,created_date,source,rep,stage,deal_value_inr,days_to_close
1000,2026-02-11,Organic Search,P. Nair,Converted,22000,9
1001,2026-02-21,Webinar,K. Das,Converted,35000,5
1002,2025-09-08,Organic Search,R. Iyer,Contacted,0,
1003,2025-10-21,Webinar,K. Das,Qualified,0,
1004,2025-11-11,Email Campaign,A. Sharma,New,0,
1005,2025-12-18,Paid Social,R. Iyer,Demo Scheduled,0,
1006,2025-09-27,Organic Search,A. Sharma,Qualified,0,
1007,2025-11-07,Email Campaign,S. Gupta,Lost,0,
1008,2025-12-06,Organic Search,P. Nair,Lost,0,
1009,2025-12-02,Referral,A. Sharma,Converted,22000,21
1010,2025-09-21,Email Campaign,A. Sharma,Qualified,0,
1011,2025-12-03,Organic Search,P. Nair,Converted,28000,44
1012,2025-09-19,Referral,R. Iyer,Contacted,0,
1013,2025-12-28,Paid Social,K. Das,Qualified,0,
1014,2026-03-16,Email Campaign,R. Iyer,Lost,0,
1015,2025-12-12,Organic Search,R. Iyer,Lost,0,
1016,2026-03-03,Paid Social,S. Gupta,Proposal Sent,0,
1017,2025-12-27,Organic Search,R. Iyer,Converted,42000,37
1018,2025-11-07,Webinar,S. Gupta,Lost,0,
1019,2025-10-27,Direct,R. Iyer,Contacted,0,
1020,2025-09-13,Email Campaign,R. Iyer,Lost,0,
1021,2025-12-18,Referral,S. Gupta,Proposal Sent,0,
1022,2026-01-14,Organic Search,K. Das,New,0,
1023,2026-03-04,Organic Search,K. Das,Lost,0,
1024,2025-11-27,Organic Search,S. Gupta,Converted,15000,19
1025,2026-01-07,Email Campaign,K. Das,Lost,0,
1026,2025-11-16,Email Campaign,K. Das,New,0,
1027,2026-03-15,Organic Search,K. Das,Lost,0,
1028,2026-01-04,Organic Search,P. Nair,Lost,0,
1029,2025-11-18,Organic Search,R. Iyer,Lost,0,
1030,2025-09-22,Webinar,A. Sharma,Lost,0,
1031,2025-10-03,Organic Search,S. Gupta,New,0,
1032,2026-01-14,Email Campaign,S. Gupta,Lost,0,
1033,2026-03-13,Webinar,R. Iyer,Lost,0,
1034,2026-02-19,Webinar,S. Gupta,Lost,0,
1035,2025-11-03,Organic Search,P. Nair,Converted,42000,17
1036,2026-01-29,Organic Search,A. Sharma,New,0,
1037,2025-09-18,Email Campaign,P. Nair,Converted,22000,20
1038,2026-02-19,Paid Social,K. Das,Converted,42000,39
1039,2025-12-31,Organic Search,S. Gupta,New,0,
1040,2025-09-25,Webinar,P. Nair,Qualified,0,
1041,2026-03-06,Organic Search,A. Sharma,Converted,55000,24
1042,2026-03-24,Email Campaign,R. Iyer,Qualified,0,
